Name,Title,Orig-date,Date-appointed-d
Willet Terry,Postmaster,07/30/1832,1832-07-30
William Mott 2nd,Postmaster,01/14/1833,1833-01-14
John Hardenburgh,Postmaster,08/04/1849,1849-08-04
John Bull,Postmaster,03/31/1852,1852-03-31
John B. Lull,Postmaster,07/28/1853,1853-07-28
Orrin D. Lull,Postmaster,10/01/1855,1855-10-01
John J. Bush,Postmaster,10/21/1858,1858-10-21
George T. Sanders,Postmaster,07/20/1861,1861-07-20
Walker V. Personius,Postmaster,12/16/1864,1864-12-16
Reuben G. Tucker,Postmaster,06/13/1866,1866-06-13
Walker V. Personius,Postmaster,10/15/1867,1867-10-15
Valentine Vandemark,Postmaster,11/15/1871,1871-11-15
Walker V. Personius,Postmaster,02/20/1873,1873-02-20
Walker V. Personius,Postmaster,01/19/1883,1883-01-19
Edward H. Mills,Postmaster,07/28/1885,1885-07-28
Willis Shurter,Postmaster,05/13/1889,1889-05-13
Frank L. Mulks,Postmaster,10/31/1893,1893-10-31
Fred B. Lounsbery,Postmaster,11/29/1897,1897-11-29
Mrs. Agnes C. Van Demark,Acting Postmaster,06/20/1933,1933-06-20
Mrs. Agnes C. Van Demark,Postmaster,09/08/1933,1933-09-08
Charles C. Vorhis,Acting Postmaster,10/31/1945,1945-10-31
Charles C. Vorhis,Postmaster,03/25/1949,1949-03-25
Gerald L. Jordan,Officer-In-Charge,10/01/1971,1971-10-01
